Order_ID,Order_Date,Region,Product_Category,Sales,Profit,Discount,Quantity
ORD-1001,2024-01-15,North,Electronics,1200.50,340.20,0.05,4
ORD-1002,2024-01-16,South,Furniture,850.00,120.00,0.10,2
ORD-1003,2024-01-17,East,Office Supplies,45.20,15.10,0.00,5
ORD-1004,2024-01-18,West,Electronics,2400.00,720.00,0.15,3
ORD-1005,2024-01-19,North,Furniture,650.00,80.00,0.20,1
ORD-1006,2024-01-20,East,Electronics,1800.00,510.00,0.05,2
ORD-1007,2024-01-21,West,Office Supplies,120.00,45.00,0.00,10
ORD-1008,2024-01-22,South,Electronics,3100.00,950.00,0.10,5
ORD-1009,2024-01-23,North,Office Supplies,85.00,28.00,0.00,4
ORD-1010,2024-01-24,East,Furniture,1450.00,210.00,0.15,3
ORD-1011,2024-01-25,West,Electronics,950.00,280.00,0.05,2
ORD-1012,2024-01-26,South,Office Supplies,210.00,65.00,0.00,8
ORD-1013,2024-01-27,North,Furniture,780.00,95.00,0.10,2
ORD-1014,2024-01-28,East,Electronics,4200.00,1350.00,0.20,6
ORD-1015,2024-01-29,West,Furniture,1100.00,160.00,0.15,4
ORD-1016,2024-01-30,South,Electronics,1600.00,480.00,0.05,3
ORD-1017,2024-01-31,North,Electronics,2900.00,890.00,0.10,5
ORD-1018,2024-02-01,East,Office Supplies,65.00,22.00,0.00,3
ORD-1019,2024-02-02,West,Furniture,1350.00,190.00,0.10,3
ORD-1020,2024-02-03,South,Electronics,2200.00,660.00,0.05,4
ORD-1020,2024-02-03,South,Electronics,2200.00,660.00,0.05,4
ORD-1021,2024-02-04,North,Electronics,15000.00,4200.00,0.05,12
ORD-1022,2024-02-05,East,Furniture,,110.00,0.10,2
ORD-1023,2024-02-06,West,Office Supplies,95.00,,0.00,6
ORD-1024,2024-02-07,South,Furniture,920.00,130.00,0.15,3
